CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U35923DL1986PTC022984,FORK ANCILUARY PRIVATE LTD,ROC Delhi,Company limited by shares,Non-government company,Private,500000,200,1/6/1986,"F-246   MUNGAL BAZAR,  LAXMI NAGAR,DELHI,Delhi,110092-India",Unlisted,Strike Off,delhi,Indian,35923,Manufacturing (Machinery and Equipments)
U35923DL2003PTC122442,MANIK CYCLES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,207800,9/30/2003,"House No . Block No. EC-9 Ground Floor Inderpuri   Central Delhi,Delhi,Central Delhi,Delhi,110012-India",Unlisted,Active,delhi,Indian,35923,Manufacturing (Machinery and Equipments)
U35923DL2011PTC229144,MAARS AUTOCORP PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,10000000,100000,12/22/2011,"503A 5TH FLOOR DEVIKA TOWER,6 NEHRU PLACE,New Delhi,South Delhi,Delhi,110019-India",Unlisted,Active,delhi,Indian,35923,Manufacturing (Machinery and Equipments)
U35923DL2012PTC245905,HITECH SLEEPERS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000,100000,12/10/2012,"C/O AVADH RUBBER   A-93, 2ND FLOOR DEFENCE COLONY,NEW DELHI,Central Delhi,Delhi,110024-India",Unlisted,Strike Off,delhi,Indian,35923,Manufacturing (Machinery and Equipments)
U35929DL2019PTC347633,VEEFLY MANUFACTURING PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,3/25/2019,"PLOT 109 NEW C-453 F/F KH 116/21 BLK-C   GALI 43 MAHAVIR ENCL P-III UTTAM NAGAR,NEW DELHI,New Delhi,Delhi,110059-India",Unlisted,Active,delhi,Indian,35929,Manufacturing (Machinery and Equipments)
U35990DL2007PTC163843,FIRE ENGINEERING SERVICES PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,5/23/2007,"C-63, POCKET-I, SUNSHINE APPARTMENT   MIG FLAT,DELHI,Delhi,110096-India",Unlisted,Strike Off,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2007PTC164652,CASTMASTER MOBILITY INDIA PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,4500000,2843710,6/12/2007,"C-5   MAHARANI BAGH,NEW DELHI,Delhi,110065-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2009PTC197476,SHREE SOBER AUTOMOTIVE PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,500000,500000,12/31/2009,"STREET NO-4   SAMAYPUR INDUSTRIAL AREA,DELHI,North Delhi,Delhi,110042-India",Unlisted,Strike Off,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2010PTC206500,EVEREST ROAD EQUIPMENTS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,2500000,2500000,7/30/2010,"84/13, ROAD NO-3, UDYOG NAGAR   ROHTAK ROAD, MUNDKA,NEW DELHI,Delhi,110041-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2010PTC207945,KNL DRIVELINE PARTS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,50000000,45130000,9/7/2010,"PLOT NO:49 A,STREET NO. 30, NEW ROHTAK ROAD,NEW DELHI,New Delhi,Delhi,110005-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
U35990DL2010PTC208729,KAY DEE TOOLING SOLUTIONS PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000,1000000,9/24/2010,"410 GF, JAGRITI ENCLAVE,,NEW DEHI,Delhi,110092-India",Unlisted,Active,delhi,Indian,35990,Manufacturing (Machinery and Equipments)
