CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01619GJ2025PTC160722,MODHUKARANASAN FARMER PRODUCER COMPANY LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1500000,10000,3/26/2025,"C/O PATEL ARAVINDBHAI,BABABHAI MODHUKA,Talod,Sabarkantha,Gujarat,383305-India",Unlisted,Active,gujarat,Indian,1619,Agriculture and Allied Activities
U01640GJ2025PTC162415,UMBRRO GENETIIC PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,5/1/2025,"SF-222, SECOND FLOOR,GOLDMINE JEWELS, SECTOR 2,Gandhinagar,Gandhi Nagar,Gujarat,382028-India",Unlisted,Active,gujarat,Indian,1640,Agriculture and Allied Activities
U02001GJ2020PTC118752,RAJKOT MALL PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,12/9/2020,"03-A, DHARA AVENUE,   NR SHAKTI SOCIETY, MORBI ROAD,,RAJKOT,Rajkot,Gujarat,360003-India",Unlisted,Strike Off,gujarat,Indian,2001,Agriculture and Allied Activities
U05000GJ2015PTC082305,M.P. AQUACULTURE PRODUCTS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,2/17/2015,"A-3, AMI APARTMENT, OPP. GOPAL NURSING HOME   RUPANI,BHAVNAGAR,Bhavnagar,Gujarat,364002-India",Unlisted,Active,gujarat,Indian,5000,Agriculture and Allied Activities
U05000GJ2017PTC096425,KANTA SHRIMPS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,3/21/2017,"127,Hariom Banglow, B/H. Rundhnath Mahadev Temple   Near Khatiwala school, Dumas road,Surat,Surat,Gujarat,395007-India",Unlisted,Active,gujarat,Indian,5000,Agriculture and Allied Activities
U05000GJ2019PTC108376,PRAWNS AQUA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,5/28/2019,"PL-64, PARIJAT CO OP SOCIETY,   PISAD, RANDER,,SURAT,Surat,Gujarat,395005-India",Unlisted,Active,gujarat,Indian,5000,Agriculture and Allied Activities
U05000GJ2022PTC130443,SAGAR BIOCARE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,3/28/2022,"Plot No.16, R.S.No.121, B/H Charbhuja,   Veraval (Shapar), Tal Kotda Sangani,Rajkot,Rajkot,Gujarat,360024-India",Unlisted,Active,gujarat,Indian,5000,Agriculture and Allied Activities
U05001GJ1994PTC021401,TAILOR FISHERIES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000000,0,2/25/1994,"4 & 5 ,VIRAT APTS,DIWALIBAUG,ATHWAGATE,SURAT.,NA,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,5001,Agriculture and Allied Activities
U05001GJ2014PTC081257,SAMANVAI AQUA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,11/17/2014,"9, VERAI FALIYU, AT. NAGHOI,   POST. KAMROLI, TAL. OLPAD,,SURAT,Surat,Gujarat,394540-India",Unlisted,Active,gujarat,Indian,5001,Agriculture and Allied Activities
U05004GJ1985PLC008284,J.SUNDEROAS LTD,ROC Ahmedabad,Company limited by shares,Non-government company,Public,100000,0,11/22/1985,"RUBIA HOUSE BEHIND ELLISBRIDGESHOPPING CENTRE,OPP   M.J.LIBRARY ASHRAM ROAD,AHMEDABAD,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,5004,Agriculture and Allied Activities
U05004GJ2010PTC060123,DEEP AQUA CULTURE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/2/2010,"C-31,PARSHAV NAGAR SOCIETY   BEHIN SHAKTI  NAGAR, HANSOT ROAD,ANKLESHWAR,Bharuch,Gujarat,393001-India",Unlisted,Strike Off,gujarat,Indian,5004,Agriculture and Allied Activities
U05004GJ2010PTC060720,SUSAN AQUA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,6500000,5600000,5/14/2010,"AT OLPAD GIDC, ROOM NO.1,   PL NO.4, 5, TA OLPAD,,SURAT,Surat,Gujarat,394540-India",Unlisted,Active,gujarat,Indian,5004,Agriculture and Allied Activities
U10619GJ2021PTC119457,FLORISHTON FRESHFOODS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,1/12/2021,"Shop No. 01 S/F, Love Complex,,Pushpakunj Society, Kankaria,,Ahmadabad City,Ahmedabad,Gujarat,380008-India",Unlisted,Active,gujarat,Indian,10619,Mining and Quarrying
U05004GJ2013PTC078039,ZALA AQUACULTURE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,12/26/2013,"2/013,SIDDHI APPARTMENT,   SHASTRINAGAR,,AHEMDABAD,Ahmedabad,Gujarat,380013-India",Unlisted,Strike Off,gujarat,Indian,5004,Agriculture and Allied Activities
U10790GJ2023PTC146201,HUNGRITOS DELIGHT PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,11/10/2023,"office no. 1201, 12th floor, Time Square Arcade,,Opp. Rambaugh, Nr. Ravija Plaza, Thaltej-Shilaj Road,,Daskroi,Ahmedabad,Gujarat,380059-India",Unlisted,Active,gujarat,Indian,10790,Manufacturing (Food stuffs)
U05005GJ2017OPC099734,BHAVINI AQUACULTURE & FOODS (OPC) PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,One Person Company,100000,100000,11/9/2017,"1686 - Nilampark   Saribujrang,Gandevi Navsari,Navsari,Gujarat,396310-India",Unlisted,Active,gujarat,Indian,5005,Agriculture and Allied Activities
U05010GJ2016PTC085572,WAVE AQUATIC PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,1/1/2016,"G-4/802, HAPPY GLORIOUS OPP.,SUMAN NAGAR NR. GREEN FORTUNE,Surat,Surat,Gujarat,395007-India",Unlisted,Active,gujarat,Indian,5010,Agriculture and Allied Activities
U06100GJ2024PTC151547,DYNOTECH OILFIELD TECHNOLOGY PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,5/15/2024,"Plot-2 Morli Nagar,Bhagyalaxmi Ngr Ajwa Road,Vadodara,Vadodara,Gujarat,390019-India",Unlisted,Active,gujarat,Indian,6100,Mining and Quarrying
U06102GJ2025PTC160822,PETROPOWER DRILLING SOLUTIONS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,10000,10000,3/29/2025,"28, Fourth Floor, Four D,Square Mall, Motera,Gandhinagar,Ahmedabad,Gujarat,382424-India",Unlisted,Active,gujarat,Indian,6102,Mining and Quarrying
U08106GJ2023PTC140381,SHVET SAND INDIA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1090000,1090000,4/21/2023,"PLOT NO 100, 1FL, JAY YOGESHWAR RAW HOUSE,SARTHANA KAMREJ ROAD, VARACHHA,Surat,Surat,Gujarat,395006-India",Unlisted,Active,gujarat,Indian,8106,Mining and Quarrying
U11100GJ2015PTC082332,SAILOR'S BREATH ENTERPRISE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,2/19/2015,"TO BADPURA , ISHWARPURA PO BADPURA,   TA-MANSA,GANDHINAGAR,382845,GANDHINAGAR,Gandhinagar,Gujarat,382845-India",Unlisted,Active,gujarat,Indian,11100,Mining and Quarrying
U11101GJ2003PTC042657,TUBESTAR OIL AND GAS SERVICES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,5000000,2000000,7/23/2003,"1ST SLOP PRITANNAGAROPP MUNICIPAL MARKET   ELLISBRIDGE,AHMEDABAD,Gujarat,380006-India",Unlisted,Active,gujarat,Indian,11101,Mining and Quarrying
U11110GJ1994PTC022326,CHANDRA TEXTURISING PVT LTD,ROC Ahmedabad,Company limited by shares,Non-government company,Private,3000000,3000000,6/23/1994,"401 GOOD LUCK TEXTILE MARKETRING ROAD,SURAT,Gujarat,395002-India",Unlisted,Active,gujarat,Indian,11110,Mining and Quarrying
U11200GJ2009PLC057871,DEEP NATURAL RESOURCES LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Public,1800000,1800000,8/25/2009,"14 GROUND FLOOR, ABHISHREE CORPORATE PARK,   AMBLI BOPAL ROAD, AMBLI,,AHMEDABAD,Ahmedabad,Gujarat,380058-India",Unlisted,Active,gujarat,Indian,11200,Mining and Quarrying
U11200GJ2021PLC120877,NATURALS JK BIOCON INDIA LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Public,1000000,1000000,3/5/2021,"G/9, SHANTI SADAN-2,   OPP.VEJALPUR MAIN BUS STOP,VEJALPUR,AHMEDABAD,Panch Mahals,Gujarat,389340-India",Unlisted,Strike Off,gujarat,Indian,11200,Mining and Quarrying
U11549GJ1988PTC010707,ARCADY AGRO BUSINESS COMBINE PVT LTD,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,300,5/16/1988,"3/4,AAVISHKAR COMPLEXAAVISHKAR TOWN SHIP,BOPAL,   AHEMDABAD-54,NA,Gujarat,000000-India",Unlisted,Under process of striking off,gujarat,Indian,11549,Mining and Quarrying
U12008GJ2022PTC137162,ZEBRON EV PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,12/2/2022,"Office No.- 218, Second Floor,,Radhe Square, Kudasan,,Dehgam,Gandhi Nagar,Gujarat,382321-India",Unlisted,Active,gujarat,Indian,12008,Manufacturing (Food stuffs)
