CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U51109MH2006PTC161499,SHOPLINE MULTITRADE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000000,82118800,5/1/2006,"Plot No R-230, TTC Industrial Area   Rabale,Navi Mumbai,Mumbai City,Maharashtra,400701-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U74900MH2015PTC261896,FIXOFY REPAIR SOLUTIONS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000,100000,2/14/2015,"Alpha, 2nd Floor, Unit No. 201,   Hiranandani Gardens, Powai,Mumbai,Mumbai City,Maharashtra,400076-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
U51109MH2006PTC165546,MOKSH EXIM PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,500000,425000,11/14/2006,"9th FLOOR, VAIBHAV CHAMBERS, OPP INCOME TAX OFFICE   BANDRA - KURLA COMPLEX, BANDRA (EAST),MUMBAI,Maharashtra,400051-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U51109MH2008PLC185389,RELIANCE COMMERCIAL LAND & INFRASTRUCTURE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Public,1241000000,530100000,8/4/2008,"4th Floor, Court House   Lokmanya Tilak Marg, Dhobi Talao,Mumbai,Mumbai City,Maharashtra,400002-India",Unlisted,Amalgamated,maharashtra,Indian,51109,Trading
U74900MH2015PTC262456,LDEXCELLER SOLUTIONS PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,3/4/2015,"Flat No 03, Gul Mohar Apartment   C6/7 Sector-5, CBD Belapur,Navi Mumbai,Maharashtra,400614-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
U74900MH2015PTC263701,MAKE MY FILM SERVICES PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,4/23/2015,"Shed No. 8, Survey No. 256/3, Hissa No. 3,   CTS No. 653/A, Vejal Compound, Malad Eas,t,Mumbai,Mumbai City,Maharashtra,400097-India",Unlisted,Active,maharashtra,Indian,74900,Business Services
U51109MH2008PTC178032,PNH IMPEX PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,1/21/2008,"5/13, TARDEO AIR- CONDITIONED MARKET   TARDEO ROAD,MUMBAI,Maharashtra,400034-India",Unlisted,Active,maharashtra,Indian,51109,Trading
U51109MH2008PTC180511,ISHRAT MERCANTILE PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,3/27/2008,"502, Siddarth, Plot No. 414,   15th Road, Bandra (West), TPS-III,,Mumbai,Mumbai City,Maharashtra,400050-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U51109MH2008PTC181439,JANIRAN TRADING (INDIA) PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,1000000,0,4/23/2008,"A-20, KING ACRES, 3RD FLOOR, SARASWAT ROAD,   SANTACRUZ (WEST),,MUMBAI,Mumbai City,Maharashtra,400055-India",Unlisted,Strike Off,maharashtra,Indian,51109,Trading
U74900MH2015PTC264217,POLARIS TRADE AND DEVELOPMENT PRIVATE LIMITED,ROC Mumbai,Company limited by shares,Non-government company,Private,100000,100000,5/8/2015,"B/506, SAMRAT CHS, FATHER PETER PEREIRA   SONAPUR LANE, NR SHEETAL CINEMA, KURLA W,EST,MUMBAI,Mumbai City,Maharashtra,400070-India",Unlisted,Strike Off,maharashtra,Indian,74900,Business Services
