CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U27400KA2025PTC201983,LOTUSGLOW TECHNOLOGIES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,4/25/2025,"#14/3, Priya Traders,T Pura,Bangalore South,Bangalore,Karnataka,560062-India",Unlisted,Active,karnataka,Indian,27400,Manufacturing (Machinery and Equipments)
U27900KA2024PTC188714,INDIBOT ROBOTICS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,5/20/2024,"M. Manokaran, 46/2,4th cross, Ground floor,Bangalore North,Bangalore,Karnataka,560003-India",Unlisted,Active,karnataka,Indian,27900,Manufacturing (Machinery and Equipments)
U28110KA1991PTC012461,RASHMITHA CASTINGS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,4000000,2000,10/31/1991,"NO.14 LAKSHMI BUILDINGJ.C ROAD   BANGALORE-500 002.,BANGALORE,Karnataka,000000-India",Unlisted,Strike Off,karnataka,Indian,28110,"Manufacturing (Metals and Chemicals, and products thereof)"
U28113KA1995PTC017235,OLIVIA MARKETING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000,2000,2/21/1995,"415, Ist Floor, 14th Cross,   Vyalikaval,BANGALORE,Karnataka,000000-India",Unlisted,Strike Off,karnataka,Indian,28113,"Manufacturing (Metals and Chemicals, and products thereof)"
U28118KA2007PTC041823,INNOVATIVE PUNCH FORMS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,0,2/20/2007,"NO 31 21st CROSS DODDANNA INDUSTRIAL ESTEATE   PEENYA 2ND STAGE,BANGALORE,Bangalore,Karnataka,560091-India",Unlisted,Strike Off,karnataka,Indian,28118,"Manufacturing (Metals and Chemicals, and products thereof)"
U28133KA2014PTC077360,PS STAMPING MANUFACTURERS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,18000000,17672640,11/20/2014,"Shed No. 3, Plot No. 186   Bommasandra Industrial Area, 3rd Phase,Hosur Road,Bangalore,Karnataka,560099-India",Unlisted,Active,karnataka,Indian,28133,"Manufacturing (Metals and Chemicals, and products thereof)"
U28150KA2025PTC200010,GERMAN SOLAR PANEL MANUFACTURES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,300000,3/21/2025,"No40/1Munisawamynagar,JPNagarMysore,Mysore,Mysore,Karnataka,570008-India",Unlisted,Active,karnataka,Indian,28150,Manufacturing (Machinery and Equipments)
U28180KA2024PTC193929,BILVA WELDING ALLOYS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,10000,10/14/2024,"NO 843/32,YELAHANKA,Bangalore North,Bangalore,Karnataka,560064-India",Unlisted,Active,karnataka,Indian,28180,Manufacturing (Machinery and Equipments)
U28212KA2023PTC177372,HPV INNOVATIVE SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,8/17/2023,"No. 10/1, 1st Floor, 4th,Opp. Nandini Hotel RT Nag,Bangalore North,Bangalore,Karnataka,560032-India",Unlisted,Active,karnataka,Indian,28212,Manufacturing (Machinery and Equipments)
U28212KA2025PTC196577,LR SEEDS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,1/6/2025,"No. 118, KNO 2894/213/4/,118 Kodigehalli, Virupaks,Bangalore North,Bangalore,Karnataka,560097-India",Unlisted,Active,karnataka,Indian,28212,Manufacturing (Machinery and Equipments)
U28221KA2024PTC188522,TRINETHRA MACHINE TOOLS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,5/14/2024,"No 2, Swayam Jyothi,,10th Cross,Havanoor Extn,Bangalore North,Bangalore,Karnataka,560073-India",Unlisted,Active,karnataka,Indian,28221,Manufacturing (Machinery and Equipments)
U28229KA2024PTC186668,NSVI FLY PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,500000,3/26/2024,"No.A-45(a)/2, Ward No.41,2nd Main,Peenya 2nd Stage,Bangalore North,Bangalore,Karnataka,560058-India",Unlisted,Active,karnataka,Indian,28229,Manufacturing (Machinery and Equipments)
U28243KA2025FTC196869,HITACHI CONSTRUCTION MACHINERY DEVELOPMENT CENTER INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,subsidiary of company incorporated outside India,Private,100000000,99000000,1/15/2025,"Foundation For Sandbox Startup Initiatives, Next to Airport, Gokul Road, Hubbali,Hubli,Dharwad,Karnataka,580030-India",Unlisted,Active,karnataka,Indian,28243,Manufacturing (Machinery and Equipments)
U28900KA2014PTC077260,SUCCEED ELECTRICAL & FAB DISIGNS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,300000,11/17/2014,"Plot No 5, Hirehalli Industrial Estate   Tumkur District,Tumkur,Tumkur,Karnataka,572104-India",Unlisted,Strike Off,karnataka,Indian,28900,"Manufacturing (Metals and Chemicals, and products thereof)"
